frame,id_objeto,equipo,pixel_x,pixel_y,cenital_x,cenital_y
0,ball,-1,392,783,357,100
0,robot_0,0,442,178,29,42
0,robot_1,1,231,601,259,184
0,robot_2,0,327,724,325,134
1,ball,-1,392,783,357,100
1,robot_0,0,442,178,29,42
1,robot_1,1,231,601,259,184
1,robot_2,0,327,724,325,134
2,ball,-1,392,783,357,100
2,robot_0,0,436,174,26,46
2,robot_1,1,234,603,260,182
2,robot_2,0,331,728,328,131
3,ball,-1,392,783,357,100
3,robot_0,0,431,170,23,49
3,robot_1,1,237,606,261,181
3,robot_2,0,336,731,329,129
4,ball,-1,392,783,357,100
4,robot_0,0,422,163,18,54
4,robot_1,1,241,616,267,179
4,robot_2,0,345,739,334,124
5,ball,-1,392,783,357,100
5,robot_0,0,420,161,17,55
5,robot_1,1,243,622,270,178
5,robot_2,0,349,742,335,122
6,ball,-1,392,783,357,100
6,robot_0,0,420,161,17,55
6,robot_1,1,243,622,270,178
6,robot_2,0,349,742,335,122
7,ball,-1,393,784,358,99
7,robot_0,0,419,159,16,55
7,robot_1,1,243,629,274,178
7,robot_2,0,354,747,338,119
8,ball,-1,394,785,358,99
8,robot_0,0,420,158,15,55
8,robot_1,1,244,636,277,177
8,robot_2,0,359,752,341,117
9,robot_0,0,421,155,13,54
9,robot_1,1,243,651,285,178
9,robot_2,0,366,761,345,113
10,robot_0,0,423,154,13,53
10,robot_1,1,243,657,288,179
10,robot_2,0,369,767,348,112
11,robot_0,0,423,154,13,53
11,robot_1,1,243,657,288,179
11,robot_2,0,369,767,348,112
12,robot_0,0,424,152,12,52
12,robot_1,1,243,663,291,179
12,robot_2,0,372,773,351,110
13,robot_0,0,425,149,10,51
13,robot_1,1,243,670,295,179
13,robot_2,0,377,780,355,108
14,robot_0,0,427,145,7,50
14,robot_1,1,243,685,302,179
14,robot_2,0,385,789,360,104
15,robot_0,0,428,143,6,49
15,robot_1,1,243,694,307,179
15,robot_2,0,390,795,363,101
16,robot_0,0,428,143,6,49
16,robot_1,1,243,695,307,179
16,robot_2,0,390,795,363,101
17,robot_0,0,429,141,5,48
17,robot_1,1,242,699,309,180
17,robot_2,0,394,799,365,99
18,robot_0,0,430,138,3,47
18,robot_1,1,243,709,314,180
18,robot_2,0,398,802,367,97
19,robot_0,0,431,136,2,47
19,robot_1,1,243,731,325,180
19,robot_2,0,407,812,372,93
20,robot_0,0,432,134,1,46
20,robot_1,1,243,742,331,181
20,robot_2,0,410,815,373,91
21,robot_0,0,432,134,1,46
21,robot_1,1,243,742,331,181
21,robot_2,0,410,815,373,91
22,robot_0,0,434,132,0,45
22,robot_1,1,242,751,335,181
22,robot_2,0,414,819,375,89
23,robot_0,0,435,130,-1,44
23,robot_1,1,242,763,341,182
23,robot_2,0,417,825,378,88
24,robot_0,0,438,127,-2,42
24,robot_1,1,242,783,351,182
24,robot_2,0,425,838,385,84
25,robot_0,0,439,126,-3,41
25,robot_1,1,241,794,356,183
25,robot_2,0,429,843,388,82
26,robot_0,0,439,126,-3,41
26,robot_1,1,241,794,356,183
26,robot_2,0,429,843,388,82
27,robot_0,0,440,124,-4,40
27,robot_1,1,241,803,361,183
27,robot_2,0,431,843,388,81
28,robot_0,0,441,123,-5,40
28,robot_1,1,242,811,365,183
28,robot_2,0,437,850,391,78
29,robot_0,0,438,125,-3,42
29,robot_1,1,247,824,371,180
29,robot_2,0,447,852,393,73
30,ball,-1,482,896,415,56
30,robot_0,0,435,127,-2,44
30,robot_1,1,251,828,373,178
30,robot_2,0,452,851,392,70
31,ball,-1,482,896,415,56
31,robot_0,0,435,127,-2,44
31,robot_1,1,251,828,373,178
31,robot_2,0,452,851,392,70
32,robot_0,0,431,130,-1,46
32,robot_1,1,255,830,374,176
32,robot_2,0,456,850,392,68
33,robot_0,0,428,133,0,48
33,robot_1,1,258,830,374,175
33,robot_2,0,460,850,392,66
34,ball,-1,496,914,424,49
34,robot_0,0,423,139,4,52
34,robot_1,1,263,829,374,172
34,robot_2,0,461,849,392,65
35,ball,-1,499,918,426,48
35,robot_0,0,422,142,5,53
35,robot_1,1,265,831,375,171
35,robot_2,0,461,850,392,65
36,ball,-1,499,918,426,48
36,robot_0,0,422,142,5,53
36,robot_1,1,265,831,375,171
36,robot_2,0,461,850,392,65
37,ball,-1,503,920,427,46
37,robot_0,0,421,142,5,53
37,robot_1,1,266,832,376,170
37,robot_2,0,462,852,393,65
38,ball,-1,506,922,428,44
38,robot_0,0,421,141,5,53
38,robot_1,1,266,834,377,170
38,robot_2,0,462,857,396,65
39,ball,-1,512,925,429,41
39,robot_0,0,423,137,2,52
39,robot_1,1,266,834,377,170
39,robot_2,0,462,860,397,65
40,ball,-1,515,926,430,40
40,robot_0,0,424,135,1,51
40,robot_1,1,267,836,378,170
40,robot_2,0,465,864,399,63
41,ball,-1,515,926,430,40
41,robot_0,0,424,135,1,51
41,robot_1,1,267,836,378,170
41,robot_2,0,465,864,399,63
42,ball,-1,517,925,430,38
42,robot_0,0,425,134,0,50
42,robot_1,1,267,838,379,170
42,robot_2,0,464,863,398,64
43,ball,-1,520,925,430,37
43,robot_0,0,427,133,0,49
43,robot_1,1,267,839,379,170
43,robot_2,0,465,865,399,64
44,ball,-1,524,921,428,34
44,robot_0,0,430,131,0,47
44,robot_1,1,266,840,379,171
44,robot_2,0,470,867,401,61
45,ball,-1,526,919,427,33
45,robot_0,0,431,129,-1,46
45,robot_1,1,266,839,379,170
45,robot_2,0,477,873,404,57
46,ball,-1,526,919,427,33
46,robot_0,0,431,129,-1,46
46,robot_1,1,266,839,379,170
46,robot_2,0,477,873,404,57
47,ball,-1,529,916,426,32
47,robot_0,0,433,127,-2,45
47,robot_1,1,266,838,379,170
47,robot_2,0,481,875,405,55
48,ball,-1,531,911,424,30
48,robot_0,0,435,125,-4,44
48,robot_1,1,267,838,379,170
48,robot_2,0,485,879,407,53
49,robot_0,0,437,124,-4,42
49,robot_1,1,267,831,375,170
49,robot_2,0,493,885,410,49
50,robot_0,0,438,123,-5,42
50,robot_1,1,267,826,373,170
50,robot_2,0,497,888,412,47
51,robot_0,0,438,123,-5,42
51,robot_1,1,267,826,373,170
51,robot_2,0,497,888,412,47
